# t[Gyr], SFR_tot/<SFR_tot>
6.212500000000001243e+00 9.167398002946980373e-01
6.237500000000001599e+00 9.132398169671416266e-01
6.262500000000001066e+00 9.097495067520331435e-01
6.287500000000001421e+00 9.062689524979699041e-01
6.312500000000001776e+00 9.027982341504994235e-01
6.337500000000001243e+00 8.993374288146015472e-01
6.362500000000001599e+00 8.958866108159949659e-01
6.387500000000001066e+00 8.924458517612826602e-01
6.412500000000001421e+00 8.890152205969888977e-01
6.437500000000001776e+00 8.855947836675267526e-01
6.462500000000001243e+00 8.821846047721215722e-01
6.487500000000001599e+00 8.787847452207624421e-01
6.512500000000001066e+00 8.753952638892045224e-01
6.537500000000001421e+00 8.720162172730880901e-01
6.562500000000001776e+00 8.686476595412380153e-01
6.587500000000001243e+00 8.652896425881866360e-01
6.612500000000001599e+00 8.619422160860160664e-01
6.637500000000001066e+00 8.586054275355822218e-01
6.662500000000001421e+00 8.552793223172141523e-01
6.687500000000001776e+00 8.519639437409981531e-01
6.712500000000001243e+00 8.486593330967401316e-01
6.737500000000001599e+00 8.453655297037618865e-01
6.762500000000001066e+00 8.420825709606536424e-01
6.787500000000001421e+00 8.388104923951625880e-01
6.812500000000001776e+00 8.355493277144109276e-01
6.837500000000001243e+00 8.322991088556410677e-01
6.862500000000001599e+00 8.290598660377632712e-01
6.887500000000001954e+00 8.258316278139588018e-01
6.912500000000001421e+00 8.226144211256810612e-01
6.937500000000001776e+00 8.194082713584098787e-01
6.962500000000001243e+00 8.162132023995732899e-01
6.987500000000001599e+00 8.130292366991191955e-01
7.012500000000001954e+00 8.098563953332627019e-01
7.037500000000001421e+00 8.066946980720235416e-01
7.062500000000001776e+00 8.035441634512431319e-01
7.087500000000001243e+00 8.004048088498497693e-01
7.112500000000001599e+00 7.972766505732661324e-01
7.137500000000001954e+00 7.941597039439306505e-01
7.162500000000001421e+00 7.910539834000527293e-01
7.187500000000001776e+00 7.879595026038459515e-01
7.212500000000001243e+00 7.848762745606305824e-01
7.237500000000001599e+00 7.818043117503680195e-01
7.262500000000001954e+00 7.787436262733542502e-01
7.287500000000001421e+00 7.756942300120079903e-01
7.312500000000001776e+00 7.726561348108937910e-01
7.337500000000001243e+00 7.696293526773377858e-01
7.362500000000001599e+00 7.666138960052641949e-01
7.387500000000001954e+00 7.636097778251170753e-01
7.412500000000001421e+00 7.606170120830281212e-01
7.437500000000001776e+00 7.576356139526975175e-01
7.462500000000001243e+00 7.546656001837432903e-01
7.487500000000001599e+00 7.517069894906553973e-01
7.512500000000001954e+00 7.487598029867881255e-01
7.537500000000001421e+00 7.458240646682324781e-01
7.562500000000001776e+00 7.428998019527643937e-01
7.587500000000001243e+00 7.399870462794518877e-01
7.612500000000001599e+00 7.370858337749183198e-01
7.637500000000001954e+00 7.341962059926233630e-01
7.662500000000001421e+00 7.313182107319531333e-01
7.687500000000001776e+00 7.284519029442824145e-01
7.712500000000001243e+00 7.255973457335480603e-01
7.737500000000001599e+00 7.227546114592521276e-01
7.762500000000001954e+00 7.199237829501200503e-01
7.787500000000001421e+00 7.171049548369581306e-01
7.812500000000001776e+00 7.142982350135004266e-01
7.837500000000002132e+00 7.115037462342291841e-01
7.862500000000001599e+00 7.087216278583026163e-01
7.887500000000001954e+00 7.059520377487488174e-01
7.912500000000001421e+00 7.031951543360798196e-01
7.937500000000001776e+00 7.004511788553086094e-01
7.962500000000002132e+00 6.977203377650982308e-01
7.987500000000001599e+00 6.950028853573739784e-01
8.012500000000001066e+00 6.922991065651553644e-01
8.037500000000001421e+00 6.896093199756669900e-01
8.062500000000000000e+00 6.869338810548558660e-01
8.087500000000000355e+00 6.842731855883297243e-01
8.112500000000000711e+00 6.816276733424115886e-01
8.137500000000001066e+00 6.789978319474259116e-01
8.162500000000001421e+00 6.763842010035078234e-01
8.187500000000000000e+00 6.737873764071646843e-01
8.212500000000000355e+00 6.712080148944264968e-01
8.237500000000000711e+00 6.686468387938131475e-01
8.262500000000001066e+00 6.661046409793787149e-01
8.287500000000001421e+00 6.635822900108558908e-01
8.312500000000001776e+00 6.610807354444114825e-01
8.337500000000000355e+00 6.586010132936399586e-01
8.362500000000000711e+00 6.561442516163442651e-01
8.387500000000001066e+00 6.537116761982099122e-01
8.412500000000001421e+00 6.513046162998243904e-01
8.437500000000001776e+00 6.489245104285924493e-01
8.462500000000000355e+00 6.465729120919634365e-01
8.487500000000000711e+00 6.442514954831171092e-01
8.512500000000001066e+00 6.419620610448159015e-01
8.537500000000001421e+00 6.397065408516298124e-01
8.562500000000001776e+00 6.374870037452262661e-01
8.587500000000000355e+00 6.353056601518973778e-01
8.612500000000000711e+00 6.331648665061501147e-01
8.637500000000001066e+00 6.310671291989722320e-01
8.662500000000001421e+00 6.290151079644648036e-01
8.687500000000001776e+00 6.270116186140062275e-01
8.712500000000000355e+00 6.250596350229825626e-01
8.737500000000000711e+00 6.231622902716225099e-01
8.762500000000001066e+00 6.213228768385914424e-01
8.787500000000001421e+00 6.195448457439145518e-01
8.812500000000001776e+00 6.178318045366173461e-01
8.837500000000000355e+00 6.161875140222241587e-01
8.862500000000000711e+00 6.146158836261921277e-01
8.887500000000001066e+00 6.131209652914206831e-01
8.912500000000001421e+00 6.117069458113930658e-01
8.937500000000001776e+00 6.103781375053044522e-01
8.962500000000000355e+00 6.091389671477865919e-01
8.987500000000000711e+00 6.079939630736781453e-01
9.012500000000001066e+00 6.069477403876908372e-01
9.037500000000001421e+00 6.060049842198860226e-01
9.062500000000001776e+00 6.051704309806249515e-01
9.087500000000000355e+00 6.044488475830098739e-01
9.112500000000000711e+00 6.038450086169186992e-01
9.137500000000001066e+00 6.033636714763467301e-01
9.162500000000001421e+00 6.030095494609639672e-01
9.187500000000001776e+00 6.027872828934208727e-01
9.212500000000000355e+00 6.027014083158522828e-01
9.237500000000000711e+00 6.027563258521603240e-01
9.262500000000001066e+00 6.029562648467259312e-01
9.287500000000001421e+00 6.033052479150802228e-01
9.312500000000001776e+00 6.038070535675021944e-01
9.337500000000000355e+00 6.044651775921948689e-01
9.362500000000000711e+00 6.052827934104416663e-01
9.387500000000001066e+00 6.062627116415383322e-01
9.412500000000001421e+00 6.074073391400983679e-01
9.437500000000001776e+00 6.087186377921802727e-01
9.462500000000000355e+00 6.101980833791590397e-01
9.487500000000000711e+00 6.118466248391520868e-01
9.512500000000001066e+00 6.136646442745680163e-01
9.537500000000001421e+00 6.156519180707621386e-01
9.562500000000001776e+00 6.178075795044348784e-01
9.587500000000000355e+00 6.201300832309200040e-01
9.612500000000000711e+00 6.226171720466765480e-01
9.637500000000001066e+00 6.252658463266675959e-01
9.662500000000001421e+00 6.280723365357451238e-01
9.687500000000001776e+00 6.310320792083680130e-01
9.712500000000000355e+00 6.341396967817385377e-01
9.737500000000000711e+00 6.373889816537234854e-01
9.762500000000001066e+00 6.407728848184731651e-01
9.787500000000001421e+00 6.442835094095812343e-01
9.812500000000001776e+00 6.479121094528794700e-01
9.837500000000000355e+00 6.516490940985977254e-01
9.862500000000000711e+00 6.554840375659028995e-01
9.887500000000001066e+00 6.594056949918162269e-01
9.912500000000001421e+00 6.634020243316199883e-01
9.937500000000001776e+00 6.674602144093579881e-01
9.962500000000000355e+00 6.715667191653263979e-01
9.987500000000000711e+00 6.757072980930625139e-01
1.001250000000000107e+01 6.798670628016978412e-01
1.003750000000000142e+01 6.840305295813184916e-01
1.006250000000000178e+01 6.881816777897018511e-01
1.008750000000000213e+01 6.923040138191772774e-01
1.011250000000000071e+01 6.963806403430679026e-01
1.013750000000000107e+01 7.003943304828759153e-01
1.016250000000000142e+01 7.043276064808421388e-01
1.018750000000000178e+01 7.081628224084316470e-01
1.021250000000000213e+01 7.118822503903474708e-01
1.023750000000000071e+01 7.154681697766336335e-01
1.026250000000000107e+01 7.189029586528462579e-01
1.028750000000000142e+01 7.221691870408392111e-01
1.031250000000000178e+01 7.252497111110139949e-01
1.033750000000000213e+01 7.281277677013366922e-01
1.036250000000000071e+01 7.307870684196203781e-01
1.038750000000000107e+01 7.332118925937243237e-01
1.041250000000000142e+01 7.353871783298592257e-01
1.043750000000000178e+01 7.372986109422083878e-01
1.046250000000000213e+01 7.389327080277260373e-01
1.048750000000000071e+01 7.402769004782951967e-01
1.051250000000000107e+01 7.413196087482538665e-01
1.053750000000000142e+01 7.420503137285394679e-01
1.056250000000000178e+01 7.424596216190009201e-01
1.058750000000000213e+01 7.425393222374317981e-01
1.061250000000000071e+01 7.422824402571585045e-01
1.063750000000000107e+01 7.416832789239438117e-01
1.066250000000000142e+01 7.407374558669915787e-01
1.068750000000000178e+01 7.394419306872109798e-01
1.071250000000000213e+01 7.377950240778612390e-01
1.073750000000000071e+01 7.357964283075021372e-01
1.076250000000000107e+01 7.334472089718558907e-01
1.078750000000000142e+01 7.307497979990271730e-01
1.081250000000000178e+01 7.277079779704827001e-01
1.083750000000000213e+01 7.243268578975001759e-01
1.086250000000000071e+01 7.206128406685347043e-01
1.088750000000000107e+01 7.165735824562611267e-01
1.091250000000000142e+01 7.122179444432217288e-01
1.093750000000000178e+01 7.075559372912363365e-01
1.096250000000000213e+01 7.025986588414396827e-01
1.098750000000000071e+01 6.973582255885270031e-01
1.101250000000000107e+01 6.918476985240720190e-01
1.103750000000000142e+01 6.860810039896335644e-01
1.106250000000000178e+01 6.800728502207944448e-01
1.108750000000000213e+01 6.738386402988295609e-01
1.111250000000000071e+01 6.673943822582873997e-01
1.113750000000000107e+01 6.607565971277807870e-01
1.116250000000000142e+01 6.539422257099751778e-01
1.118750000000000178e+01 6.469685349379680206e-01
1.121250000000000213e+01 6.398530246829773338e-01
1.123750000000000071e+01 6.326133359374086496e-01
1.126250000000000107e+01 6.252671613639418924e-01
1.128750000000000142e+01 6.178321592922997318e-01
1.131250000000000178e+01 6.103258723683058218e-01
1.133750000000000213e+01 6.027656522223359126e-01
1.136250000000000071e+01 5.951685917327115272e-01
1.138750000000000107e+01 5.875514667177765826e-01
1.141250000000000142e+01 5.799306891973561306e-01
1.143750000000000178e+01 5.723222747113538844e-01
1.146250000000000213e+01 5.647418265509929203e-01
1.148750000000000071e+01 5.572045401126184405e-01
1.151250000000000107e+01 5.497252308730578019e-01
1.153750000000000142e+01 5.423183896364135448e-01
1.156250000000000178e+01 5.349982686197028992e-01
1.158750000000000213e+01 5.277790015129102397e-01
1.161250000000000071e+01 5.206747597356552459e-01
1.163750000000000107e+01 5.136999455792911062e-01
1.166250000000000142e+01 5.068694206403939750e-01
1.168750000000000178e+01 5.001987648200273417e-01
1.171250000000000213e+01 4.937045571406312172e-01
1.173750000000000071e+01 4.874046647639559970e-01
1.176250000000000107e+01 4.813185210424922866e-01
1.178750000000000142e+01 4.754673675125308252e-01
1.181250000000000178e+01 4.698744289117575690e-01
1.183750000000000213e+01 4.645649852162237470e-01
1.186250000000000071e+01 4.595663011238980133e-01
1.188750000000000107e+01 4.549073722459315294e-01
1.191250000000000142e+01 4.506184494041220456e-01
1.193750000000000178e+01 4.467303086905182741e-01
1.196250000000000213e+01 4.432732459264357439e-01
1.198750000000000249e+01 4.402757901155374687e-01
1.201250000000000107e+01 4.377631511876468595e-01
1.203750000000000142e+01 4.357554419571599280e-01
1.206250000000000178e+01 4.342657413098177099e-01
1.208750000000000213e+01 4.332980930952753940e-01
1.211250000000000249e+01 4.328455604271956303e-01
1.213750000000000107e+01 4.328884751347868987e-01
