# t[Gyr], SFR_thin.d/<SFR_thin.d>
3.912500000000000977e+00 1.469533509645011726e+00
3.937500000000000888e+00 1.465621950357474335e+00
3.962500000000000799e+00 1.461681268591807470e+00
3.987500000000001155e+00 1.457712525221791733e+00
4.012500000000001066e+00 1.453716758025271893e+00
4.037500000000000533e+00 1.449694982148601152e+00
4.062500000000000888e+00 1.445648190562010660e+00
4.087500000000001243e+00 1.441577354506047515e+00
4.112500000000000711e+00 1.437483423929260651e+00
4.137500000000001066e+00 1.433367327917290268e+00
4.162500000000001421e+00 1.429229975113514017e+00
4.187500000000000888e+00 1.425072254131428906e+00
4.212500000000001243e+00 1.420895033958884168e+00
4.237500000000000711e+00 1.416699164354360940e+00
4.262500000000001066e+00 1.412485476235420423e+00
4.287500000000001421e+00 1.408254782059467747e+00
4.312500000000000888e+00 1.404007876197007176e+00
4.337500000000001243e+00 1.399745535297481247e+00
4.362500000000000711e+00 1.395468518647886125e+00
4.387500000000001066e+00 1.391177568524269992e+00
4.412500000000001421e+00 1.386873410536249906e+00
4.437500000000000888e+00 1.382556753964711005e+00
4.462500000000001243e+00 1.378228292092776863e+00
4.487500000000000711e+00 1.373888702530217776e+00
4.512500000000001066e+00 1.369538647531402420e+00
4.537500000000001421e+00 1.365178774306922360e+00
4.562500000000000888e+00 1.360809715329023950e+00
4.587500000000001243e+00 1.356432088630945998e+00
4.612500000000000711e+00 1.352046498100303751e+00
4.637500000000001066e+00 1.347653533766624667e+00
4.662500000000001421e+00 1.343253772083145670e+00
4.687500000000000888e+00 1.338847776203005102e+00
4.712500000000001243e+00 1.334436096249907333e+00
4.737500000000000711e+00 1.330019269583400332e+00
4.762500000000001066e+00 1.325597821058855708e+00
4.787500000000001421e+00 1.321172263282246684e+00
4.812500000000000888e+00 1.316743096859862794e+00
4.837500000000001243e+00 1.312310810643007031e+00
4.862500000000000711e+00 1.307875881967830889e+00
4.887500000000001066e+00 1.303438776890362361e+00
4.912500000000001421e+00 1.298999950416835913e+00
4.937500000000000888e+00 1.294559846729438135e+00
4.962500000000001243e+00 1.290118899407508790e+00
4.987500000000000711e+00 1.285677531644351612e+00
5.012500000000001066e+00 1.281236156459692577e+00
5.037500000000001421e+00 1.276795176907887797e+00
5.062500000000000888e+00 1.272354986281986067e+00
5.087500000000001243e+00 1.267915968313687802e+00
5.112500000000001599e+00 1.263478497369320497e+00
5.137500000000001066e+00 1.259042938641889320e+00
5.162500000000001421e+00 1.254609648339286787e+00
5.187500000000000888e+00 1.250178973868742993e+00
5.212500000000001243e+00 1.245751254017575249e+00
5.237500000000001599e+00 1.241326819130334158e+00
5.262500000000001066e+00 1.236905991282403861e+00
5.287500000000001421e+00 1.232489084450121286e+00
5.312500000000000888e+00 1.228076404677512112e+00
5.337500000000001243e+00 1.223668250239669186e+00
5.362500000000001599e+00 1.219264911802881324e+00
5.387500000000001066e+00 1.214866672581552010e+00
5.412500000000001421e+00 1.210473808491978609e+00
5.437500000000000888e+00 1.206086588303069140e+00
5.462500000000001243e+00 1.201705273784022143e+00
5.487500000000001599e+00 1.197330119849081331e+00
5.512500000000001066e+00 1.192961374699376353e+00
5.537500000000001421e+00 1.188599279961934707e+00
5.562500000000000888e+00 1.184244070825919870e+00
5.587500000000001243e+00 1.179895976176135619e+00
5.612500000000001599e+00 1.175555218723875139e+00
5.637500000000001066e+00 1.171222015135143124e+00
5.662500000000001421e+00 1.166896576156324361e+00
5.687500000000000888e+00 1.162579106737340773e+00
5.712500000000001243e+00 1.158269806152340431e+00
5.737500000000001599e+00 1.153968868117986712e+00
5.762500000000001066e+00 1.149676480909378906e+00
5.787500000000001421e+00 1.145392827473656894e+00
5.812500000000000888e+00 1.141118085541343641e+00
