# t[Gyr], SFR_tot[Msun/pc^2/Gyr]
1.178750000000000142e+01 1.876637097783494301e+00
1.181250000000000178e+01 1.854562152622174276e+00
1.183750000000000213e+01 1.833606142413189977e+00
1.186250000000000071e+01 1.813876679049941432e+00
1.188750000000000107e+01 1.795488206221474758e+00
1.191250000000000142e+01 1.778560121847191144e+00
1.193750000000000178e+01 1.763213897052155144e+00
1.196250000000000213e+01 1.749569107365779530e+00
1.198750000000000249e+01 1.737738354809348351e+00
1.201250000000000107e+01 1.727821141247283698e+00
1.203750000000000142e+01 1.719896850578913394e+00
1.206250000000000178e+01 1.714017104269466074e+00
1.208750000000000213e+01 1.710197863116252215e+00
1.211250000000000249e+01 1.708411747704546180e+00
1.213750000000000107e+01 1.708581129112838548e+00
1.216250000000000142e+01 1.710572588269332117e+00
1.218750000000000178e+01 1.714193346294823561e+00
1.221250000000000213e+01 1.719190221185032064e+00
1.223750000000000249e+01 1.725251564327490827e+00
1.226250000000000107e+01 1.732012474833884763e+00
1.228750000000000142e+01 1.739063387556393891e+00
1.231250000000000178e+01 1.745961894863226949e+00
1.233750000000000213e+01 1.752247410838807751e+00
1.236250000000000249e+01 1.757458041316167785e+00
1.238750000000000107e+01 1.761148807444707032e+00
1.241250000000000142e+01 1.762910206894373610e+00
1.243750000000000178e+01 1.762386004378100335e+00
1.246250000000000213e+01 1.759289135146693273e+00
1.248750000000000249e+01 1.753414686946517254e+00
1.251250000000000107e+01 1.744649094326593319e+00
1.253750000000000142e+01 1.732974922022731512e+00
1.256250000000000178e+01 1.718470911524106359e+00
1.258750000000000213e+01 1.701307291122210907e+00
1.261250000000000249e+01 1.681736675930256331e+00
1.263750000000000107e+01 1.660081181719783139e+00
1.266250000000000142e+01 1.636716619230539571e+00
1.268750000000000178e+01 1.612054803962184923e+00
1.271250000000000213e+01 1.586525098236890141e+00
1.273750000000000249e+01 1.560556294227554153e+00
1.276250000000000107e+01 1.534559854149995628e+00
1.278750000000000142e+01 1.508915360128581629e+00
1.281250000000000178e+01 1.483958810445004772e+00
1.283750000000000213e+01 1.459974153519006723e+00
1.286250000000000249e+01 1.437188199450808446e+00
1.288750000000000107e+01 1.415768813047117547e+00
1.291250000000000142e+01 1.395826090022071586e+00
1.293750000000000178e+01 1.377416062429727805e+00
1.296250000000000213e+01 1.360546377405444929e+00
1.298750000000000249e+01 1.345183346190996332e+00
