# t[Gyr], [Fe/H]_thin.d
1.126250000000000107e+01 2.001814660817339275e-01
1.128750000000000142e+01 2.014622470412552602e-01
1.131250000000000178e+01 2.027432652434401072e-01
1.133750000000000213e+01 2.040245252659502739e-01
1.136250000000000071e+01 2.053060316783014150e-01
1.138750000000000107e+01 2.065877890420128038e-01
1.141250000000000142e+01 2.078698019107513284e-01
1.143750000000000178e+01 2.091520748304795951e-01
1.146250000000000213e+01 2.104346123396007018e-01
1.148750000000000071e+01 2.117174189691004571e-01
1.151250000000000107e+01 2.130004992426930421e-01
1.153750000000000142e+01 2.142838576769594550e-01
1.156250000000000178e+01 2.155674987814916177e-01
1.158750000000000213e+01 2.168514270590304882e-01
1.161250000000000071e+01 2.181356470056061703e-01
1.163750000000000107e+01 2.194201631106753592e-01
1.166250000000000142e+01 2.207049798572590094e-01
1.168750000000000178e+01 2.219901017220792250e-01
1.171250000000000213e+01 2.232755331756937078e-01
1.173750000000000071e+01 2.245612786826315377e-01
1.176250000000000107e+01 2.258473427015261770e-01
1.178750000000000142e+01 2.271337296852499188e-01
1.181250000000000178e+01 2.284204440810437831e-01
1.183750000000000213e+01 2.297074903306517424e-01
1.186250000000000071e+01 2.309948728704486198e-01
1.188750000000000107e+01 2.322825961315714283e-01
1.191250000000000142e+01 2.335706645400497106e-01
1.193750000000000178e+01 2.348590825169304397e-01
1.196250000000000213e+01 2.361478544784092470e-01
1.198750000000000249e+01 2.374369848359555446e-01
1.201250000000000107e+01 2.387264779964377581e-01
1.203750000000000142e+01 2.400163383622518909e-01
1.206250000000000178e+01 2.413065703314426491e-01
1.208750000000000213e+01 2.425971782978304514e-01
1.211250000000000249e+01 2.438881666511324431e-01
1.213750000000000107e+01 2.451795397770883955e-01
1.216250000000000142e+01 2.464713020575799440e-01
1.218750000000000178e+01 2.477634578707531565e-01
1.221250000000000213e+01 2.490560115911401029e-01
1.223750000000000249e+01 2.503489675897776490e-01
1.226250000000000107e+01 2.516423302343288038e-01
1.228750000000000142e+01 2.529361038892002922e-01
1.231250000000000178e+01 2.542302929156633473e-01
1.233750000000000213e+01 2.555249016719677302e-01
1.236250000000000249e+01 2.568199345134639655e-01
1.238750000000000107e+01 2.581153957927153630e-01
1.241250000000000142e+01 2.594112898596188099e-01
1.243750000000000178e+01 2.607076210615170142e-01
1.246250000000000213e+01 2.620043937433164105e-01
1.248750000000000249e+01 2.633016122475991816e-01
1.251250000000000107e+01 2.645992809147396096e-01
1.253750000000000142e+01 2.658974040830179852e-01
1.256250000000000178e+01 2.671959860887321847e-01
1.258750000000000213e+01 2.684950312663116900e-01
1.261250000000000249e+01 2.697945439484300545e-01
1.263750000000000107e+01 2.710945284661155918e-01
1.266250000000000142e+01 2.723949891488640640e-01
1.268750000000000178e+01 2.736959303247494812e-01
1.271250000000000213e+01 2.749973563205346805e-01
1.273750000000000249e+01 2.762992714617805712e-01
1.276250000000000107e+01 2.776016800729572687e-01
1.278750000000000142e+01 2.789045864775524519e-01
1.281250000000000178e+01 2.802079949981808316e-01
1.283750000000000213e+01 2.815119099566929517e-01
1.286250000000000249e+01 2.828163356742827705e-01
1.288750000000000107e+01 2.841212764715963512e-01
1.291250000000000142e+01 2.854267366688381102e-01
1.293750000000000178e+01 2.867327205858792860e-01
1.296250000000000213e+01 2.880392325423642985e-01
1.298750000000000249e+01 2.893462768578167754e-01
