# t[Gyr], fraction_in_stars&remnants_thin.d
6.162500000000001421e+00 6.798276130278697593e-01
6.187500000000001776e+00 6.798283800583823089e-01
6.212500000000001243e+00 6.798291502421540677e-01
6.237500000000001599e+00 6.823680410709532795e-01
6.262500000000001066e+00 6.823688176354102408e-01
6.287500000000001421e+00 6.823695974278657372e-01
6.312500000000001776e+00 6.823703804738128209e-01
6.337500000000001243e+00 6.823711667990419727e-01
6.362500000000001599e+00 6.823719564296457651e-01
6.387500000000001066e+00 6.823727493920233034e-01
6.412500000000001421e+00 6.823735457128849990e-01
6.437500000000001776e+00 6.823743454192581215e-01
6.462500000000001243e+00 6.823751485384906834e-01
6.487500000000001599e+00 6.823759550982575472e-01
6.512500000000001066e+00 6.823767651265647549e-01
6.537500000000001421e+00 6.823775786517553010e-01
6.562500000000001776e+00 6.823783957025143510e-01
6.587500000000001243e+00 6.823792163078747919e-01
6.612500000000001599e+00 6.856012202199210925e-01
6.637500000000001066e+00 6.856020480230009539e-01
6.662500000000001421e+00 6.856028794699229323e-01
6.687500000000001776e+00 6.856037145911670905e-01
6.712500000000001243e+00 6.856045534175907452e-01
6.737500000000001599e+00 6.856053959804336850e-01
6.762500000000001066e+00 6.856062423113251647e-01
6.787500000000001421e+00 6.856070924422897894e-01
6.812500000000001776e+00 6.856079464057547312e-01
6.837500000000001243e+00 6.888593126895299346e-01
6.862500000000001599e+00 6.888601744169184915e-01
6.887500000000001954e+00 6.888610400765688979e-01
6.912500000000001421e+00 6.888619097025849847e-01
6.937500000000001776e+00 6.888627833295081215e-01
6.962500000000001243e+00 6.888636609923238785e-01
6.987500000000001599e+00 6.887476838024660930e-01
7.012500000000001954e+00 6.887485696438400140e-01
7.037500000000001421e+00 6.887494596288072923e-01
7.062500000000001776e+00 6.919797961807043762e-01
7.087500000000001243e+00 6.919806945638659057e-01
7.112500000000001599e+00 6.919815972026048811e-01
7.137500000000001954e+00 6.919825041352405393e-01
7.162500000000001421e+00 6.919834154006015980e-01
7.187500000000001776e+00 6.919843310380360268e-01
7.212500000000001243e+00 6.919852510874199281e-01
7.237500000000001599e+00 6.919861755891668631e-01
7.262500000000001954e+00 6.919871045842376223e-01
7.287500000000001421e+00 6.919880381141499948e-01
7.312500000000001776e+00 6.919889762209887607e-01
7.337500000000001243e+00 6.919899189474162382e-01
7.362500000000001599e+00 6.919908663366821644e-01
7.387500000000001954e+00 6.950904550193224285e-01
7.412500000000001421e+00 6.950914118664206498e-01
7.437500000000001776e+00 6.950923735097429557e-01
7.462500000000001243e+00 6.950933399950003366e-01
7.487500000000001599e+00 6.950943113685481567e-01
7.512500000000001954e+00 6.950952876773975886e-01
7.537500000000001421e+00 6.950962689692284924e-01
7.562500000000001776e+00 6.950972552924014058e-01
7.587500000000001243e+00 6.982813033645447476e-01
7.612500000000001599e+00 6.982822998982727292e-01
7.637500000000001954e+00 6.982833016126417380e-01
7.662500000000001421e+00 6.982843085588683607e-01
7.687500000000001776e+00 6.982853207889184732e-01
7.712500000000001243e+00 6.982863383555205639e-01
7.737500000000001599e+00 6.982873613121816092e-01
7.762500000000001954e+00 7.014272342576088892e-01
7.787500000000001421e+00 7.014282681580970014e-01
7.812500000000001776e+00 7.014293076139870298e-01
7.837500000000002132e+00 7.014303526820542256e-01
7.862500000000001599e+00 7.014314034199317094e-01
7.887500000000001954e+00 7.014324598861281235e-01
7.912500000000001421e+00 7.014335221400449516e-01
7.937500000000001776e+00 7.014345902419943934e-01
7.962500000000002132e+00 7.014356642532185715e-01
7.987500000000001599e+00 7.014367442359079607e-01
8.012500000000001066e+00 7.045767970574752237e-01
8.037500000000001421e+00 7.045778891735585692e-01
8.062500000000000000e+00 7.045789874535672848e-01
8.087500000000000355e+00 7.045800919636862059e-01
8.112500000000000711e+00 7.045812027711511050e-01
8.137500000000001066e+00 7.044967407272356708e-01
8.162500000000001421e+00 7.076184735297535999e-01
