# t[Gyr], [Fe/H]
1.091250000000000142e+01 4.808190111924089301e-03
1.093750000000000178e+01 5.173291097940113485e-03
1.096250000000000213e+01 5.537601830849069734e-03
1.098750000000000071e+01 5.901125674630190374e-03
1.101250000000000107e+01 6.263865971754662386e-03
1.103750000000000142e+01 6.625826043369774376e-03
1.106250000000000178e+01 6.987009189480423293e-03
1.108750000000000213e+01 7.347418689129543885e-03
1.111250000000000071e+01 7.707057800576688940e-03
1.113750000000000107e+01 8.065929761473229417e-03
1.116250000000000142e+01 8.424037789036761814e-03
1.118750000000000178e+01 8.781385080224437395e-03
1.121250000000000213e+01 9.137974811902715294e-03
1.123750000000000071e+01 9.493810141016799029e-03
1.126250000000000107e+01 9.848894204757294851e-03
1.128750000000000142e+01 1.020323012072605999e-02
1.131250000000000178e+01 1.055682098709849644e-02
1.133750000000000213e+01 1.090966988278736956e-02
1.136250000000000071e+01 1.126177986760154050e-02
1.138750000000000107e+01 1.161315398240472807e-02
1.141250000000000142e+01 1.196379524927221848e-02
1.143750000000000178e+01 1.231370667164738940e-02
1.146250000000000213e+01 1.266289123449340984e-02
1.148750000000000071e+01 1.301135190444624098e-02
1.151250000000000107e+01 1.335909162996568034e-02
1.153750000000000142e+01 1.370611334148260155e-02
1.156250000000000178e+01 1.405241995154856219e-02
1.158750000000000213e+01 1.439801435497937640e-02
1.161250000000000071e+01 1.474289942900152729e-02
1.163750000000000107e+01 1.508707803339333180e-02
1.166250000000000142e+01 1.543055301062795474e-02
1.168750000000000178e+01 1.577332718601220582e-02
1.171250000000000213e+01 1.611540336782640512e-02
1.173750000000000071e+01 1.645678434745954585e-02
1.176250000000000107e+01 1.679747289954783979e-02
1.178750000000000142e+01 1.713747178210628733e-02
1.181250000000000178e+01 1.747678373666384719e-02
1.183750000000000213e+01 1.781541148839500127e-02
1.186250000000000071e+01 1.815335774624879731e-02
1.188750000000000107e+01 1.849062520307938329e-02
1.191250000000000142e+01 1.882721653577379070e-02
1.193750000000000178e+01 1.916313440537713991e-02
1.196250000000000213e+01 1.949838145721917090e-02
1.198750000000000249e+01 1.983296032103869580e-02
1.201250000000000107e+01 2.016687361110512319e-02
1.203750000000000142e+01 2.050012392634089145e-02
1.206250000000000178e+01 2.083271385044205282e-02
1.208750000000000213e+01 2.116464595199669604e-02
1.211250000000000249e+01 2.149592278460408373e-02
1.213750000000000107e+01 2.182654688699085105e-02
1.216250000000000142e+01 2.215652078312695811e-02
1.218750000000000178e+01 2.248584698234072296e-02
1.221250000000000213e+01 2.281452797943102351e-02
1.223750000000000249e+01 2.314256625478197313e-02
1.226250000000000107e+01 2.346996427447218397e-02
1.228750000000000142e+01 2.379672449038603213e-02
1.231250000000000178e+01 2.412284934032302847e-02
1.233750000000000213e+01 2.444834124810518761e-02
1.236250000000000249e+01 2.477320262368427894e-02
1.238750000000000107e+01 2.509743586324906725e-02
1.241250000000000142e+01 2.542104334932892076e-02
1.243750000000000178e+01 2.574402745089821726e-02
1.246250000000000213e+01 2.606639052347986887e-02
1.248750000000000249e+01 2.638813490924757019e-02
1.251250000000000107e+01 2.670926293712580155e-02
1.253750000000000142e+01 2.702977692289120631e-02
1.256250000000000178e+01 2.734967916927052642e-02
1.258750000000000213e+01 2.766897196604067161e-02
1.261250000000000249e+01 2.798765759012409454e-02
1.263750000000000107e+01 2.830573830568654595e-02
1.266250000000000142e+01 2.862321636423164825e-02
1.268750000000000178e+01 2.894009400469664539e-02
1.271250000000000213e+01 2.925637345354539440e-02
1.273750000000000249e+01 2.957205692486060064e-02
1.276250000000000107e+01 2.988714662043757270e-02
1.278750000000000142e+01 3.020164472987340101e-02
1.281250000000000178e+01 3.051555343065896764e-02
1.283750000000000213e+01 3.082887488826686201e-02
1.286250000000000249e+01 3.114161125624142351e-02
1.288750000000000107e+01 3.145376467628512723e-02
1.291250000000000142e+01 3.176533727834690568e-02
1.293750000000000178e+01 3.207633118070732370e-02
1.296250000000000213e+01 3.238674849006463463e-02
1.298750000000000249e+01 3.269659130161926136e-02
