# t[Gyr], h[pc]_thin.d
9.162500000000001421e+00 3.423456247267997696e+02
9.187500000000001776e+00 3.413629742244831391e+02
9.212500000000000355e+00 3.403771283669995000e+02
9.237500000000000711e+00 3.393880549183566018e+02
9.262500000000001066e+00 3.383957210973929364e+02
9.287500000000001421e+00 3.374000935649378903e+02
9.312500000000001776e+00 3.364011384105808702e+02
9.337500000000000355e+00 3.353988211390341121e+02
9.362500000000000711e+00 3.343931066560768386e+02
9.387500000000001066e+00 3.333839592540603576e+02
9.412500000000001421e+00 3.323713425969624495e+02
9.437500000000001776e+00 3.313552197049696701e+02
9.462500000000000355e+00 3.303355529385714249e+02
9.487500000000000711e+00 3.293123039821465454e+02
9.512500000000001066e+00 3.282854338270221319e+02
9.537500000000001421e+00 3.272549027539846520e+02
9.562500000000001776e+00 3.262206703152197065e+02
9.587500000000000355e+00 3.251826953156605668e+02
9.612500000000000711e+00 3.241409357937186542e+02
9.637500000000001066e+00 3.230953490013739611e+02
9.662500000000001421e+00 3.220458913835954036e+02
9.687500000000001776e+00 3.209925185570678536e+02
9.712500000000000355e+00 3.199351852881941909e+02
9.737500000000000711e+00 3.188738454703426441e+02
9.762500000000001066e+00 3.178084521003091822e+02
9.787500000000001421e+00 3.167389572539597680e+02
9.812500000000001776e+00 3.156653120610178007e+02
9.837500000000000355e+00 3.145874666789620733e+02
9.862500000000000711e+00 3.135053702659934061e+02
9.887500000000001066e+00 3.124189709530324421e+02
9.912500000000001421e+00 3.113282158147032987e+02
9.937500000000001776e+00 3.102330508392602155e+02
9.962500000000000355e+00 3.091334208974083140e+02
9.987500000000000711e+00 3.080292697099696966e+02
1.001250000000000107e+01 3.069205398143428738e+02
1.003750000000000142e+01 3.058071725296972545e+02
1.006250000000000178e+01 3.046891079208489828e+02
1.008750000000000213e+01 3.035662847607520689e+02
1.011250000000000071e+01 3.024386404915443904e+02
1.013750000000000107e+01 3.013061111840740978e+02
1.016250000000000142e+01 3.001686314958416233e+02
1.018750000000000178e+01 2.990261346272735636e+02
1.021250000000000213e+01 2.978785522762517530e+02
1.023750000000000071e+01 2.967258145908119786e+02
1.026250000000000107e+01 2.955678501199183188e+02
1.028750000000000142e+01 2.944045857622226094e+02
1.031250000000000178e+01 2.932359467127017751e+02
1.033750000000000213e+01 2.920618564070700245e+02
1.036250000000000071e+01 2.908822364638495515e+02
1.038750000000000107e+01 2.896970066239782682e+02
1.041250000000000142e+01 2.885060846878281495e+02
1.043750000000000178e+01 2.873093864494953209e+02
1.046250000000000213e+01 2.861068256282185871e+02
1.048750000000000071e+01 2.848983137967711627e+02
1.051250000000000107e+01 2.836837603066620090e+02
1.053750000000000142e+01 2.824630722099720970e+02
1.056250000000000178e+01 2.812361541776389231e+02
1.058750000000000213e+01 2.800029084139924862e+02
1.061250000000000071e+01 2.787632345673285954e+02
1.063750000000000107e+01 2.775170296362978775e+02
1.066250000000000142e+01 2.762641878718644648e+02
1.068750000000000178e+01 2.750046006745822069e+02
1.071250000000000213e+01 2.737381564869080535e+02
1.073750000000000071e+01 2.724647406802620822e+02
1.076250000000000107e+01 2.711842354365160759e+02
1.078750000000000142e+01 2.698965196235748181e+02
1.081250000000000178e+01 2.686014686646846030e+02
1.083750000000000213e+01 2.672989544010845862e+02
1.086250000000000071e+01 2.659888449475782295e+02
1.088750000000000107e+01 2.646710045405798724e+02
1.091250000000000142e+01 2.633452933781527463e+02
1.093750000000000178e+01 2.620115674515166688e+02
1.096250000000000213e+01 2.606696783674686344e+02
1.098750000000000071e+01 2.593194731611102384e+02
1.101250000000000107e+01 2.579607940982308492e+02
1.103750000000000142e+01 2.565934784666446831e+02
1.106250000000000178e+01 2.552173583557166694e+02
1.108750000000000213e+01 2.538322604232584752e+02
1.111250000000000071e+01 2.524380056488986384e+02
1.113750000000000107e+01 2.510344090729619779e+02
1.116250000000000142e+01 2.496212795198083256e+02
1.118750000000000178e+01 2.481984193044886240e+02
1.121250000000000213e+01 2.467656239214790901e+02
1.123750000000000071e+01 2.453226817141432434e+02
1.126250000000000107e+01 2.438693735234476492e+02
1.128750000000000142e+01 2.424054723143269428e+02
1.131250000000000178e+01 2.409307427779412194e+02
1.133750000000000213e+01 2.394449409079065845e+02
1.136250000000000071e+01 2.379478135483955725e+02
1.138750000000000107e+01 2.364390979118014400e+02
1.141250000000000142e+01 2.349185210634349517e+02
1.143750000000000178e+01 2.333857993704680780e+02
1.146250000000000213e+01 2.318406379120612257e+02
1.148750000000000071e+01 2.302827298472917619e+02
1.151250000000000107e+01 2.287117557371529415e+02
1.153750000000000142e+01 2.271273828164970610e+02
1.156250000000000178e+01 2.255292642113474813e+02
1.158750000000000213e+01 2.239170380965117602e+02
1.161250000000000071e+01 2.222903267878567704e+02
1.163750000000000107e+01 2.206487357629729615e+02
1.166250000000000142e+01 2.189918526032329567e+02
1.168750000000000178e+01 2.173192458494254993e+02
1.171250000000000213e+01 2.156304637622191365e+02
1.173750000000000071e+01 2.139250329776432693e+02
1.176250000000000107e+01 2.122024570465609941e+02
1.178750000000000142e+01 2.104622148457193020e+02
1.181250000000000178e+01 2.087037588463627742e+02
1.183750000000000213e+01 2.069265132245614041e+02
1.186250000000000071e+01 2.051298717952834068e+02
1.188750000000000107e+01 2.033131957497868143e+02
1.191250000000000142e+01 2.014758111730605492e+02
1.193750000000000178e+01 1.996170063147252733e+02
1.196250000000000213e+01 1.977360285829378199e+02
1.198750000000000249e+01 1.958320812263079347e+02
1.201250000000000107e+01 1.939043196635046229e+02
1.203750000000000142e+01 1.919518474139472630e+02
1.206250000000000178e+01 1.899737115755325476e+02
1.208750000000000213e+01 1.879688977865060338e+02
1.211250000000000249e+01 1.859363245980353270e+02
1.213750000000000107e+01 1.838748371714001451e+02
1.216250000000000142e+01 1.817832001984954218e+02
1.218750000000000178e+01 1.796600899259503592e+02
1.221250000000000213e+01 1.775040851408063816e+02
1.223750000000000249e+01 1.753136569484008476e+02
1.226250000000000107e+01 1.730871571395786646e+02
1.228750000000000142e+01 1.708228049029506792e+02
1.231250000000000178e+01 1.685186715864867892e+02
1.233750000000000213e+01 1.661726631484024779e+02
1.236250000000000249e+01 1.637824998563269219e+02
1.238750000000000107e+01 1.613456926910483844e+02
1.241250000000000142e+01 1.588595157799029494e+02
1.243750000000000178e+01 1.563209740157988961e+02
1.246250000000000213e+01 1.537267647980791878e+02
