N,age,FeH,Mini,Mf,logL,logT,logg,phase,G_EDR3,GBP_EDR3,GRP_EDR3,age_WD,disk_label
8.983557036690233e-08,13.0,-2.7,0.78136963,0.722,1.738,3.8582,2.943,4.0,0.349,0.473,0.114,nan,2
9.080131088652265e-08,13.0,-2.7,0.78141141,0.722,1.745,3.8498,2.903,4.0,0.333,0.471,0.078,nan,2
9.016110087911224e-08,13.0,-2.7,0.78145331,0.722,1.751,3.8414,2.863,4.0,0.318,0.468,0.042,nan,2
8.990067646944069e-08,13.0,-2.7,0.7814945,0.722,1.758,3.8334,2.824,4.0,0.304,0.466,0.008,nan,2
9.293896125062876e-08,13.0,-2.7,0.78153616,0.722,1.765,3.825,2.783,4.0,0.288,0.464,-0.028,nan,2
9.22987512429774e-08,13.0,-2.7,0.78158015,0.722,1.774,3.8149,2.734,4.0,0.269,0.461,-0.07,nan,2
8.220730536278339e-08,13.0,-2.7,0.78162122,0.722,1.784,3.8053,2.686,4.0,0.25,0.458,-0.113,nan,2
6.156867088583154e-08,13.0,-2.7,0.78165591,0.722,1.795,3.795,2.633,4.0,0.228,0.454,-0.16,nan,2
4.081067522033049e-08,13.0,-2.7,0.78167796,0.722,1.81,3.785,2.579,4.0,0.197,0.441,-0.214,nan,2
2.6975628449481475e-08,13.0,-2.7,0.78169352,0.722,1.823,3.7772,2.535,4.0,0.172,0.43,-0.257,nan,2
1.7589498678995295e-08,13.0,-2.7,0.78170282,0.722,1.838,3.77,2.491,4.0,0.14,0.411,-0.305,nan,2
1.2869306251469612e-08,13.0,-2.7,0.78170973,0.722,1.849,3.7643,2.457,4.0,0.115,0.397,-0.342,nan,2
9.896127572578942e-09,13.0,-2.7,0.78171468,0.722,1.863,3.7586,2.42,4.0,0.084,0.376,-0.386,nan,2
8.08400772116463e-09,13.0,-2.7,0.78171885,0.723,1.879,3.753,2.382,4.0,0.05,0.353,-0.433,nan,2
5.94635735729946e-09,13.0,-2.7,0.78172213,0.723,1.901,3.7465,2.334,4.0,0.001,0.316,-0.497,nan,2
3.938919198270069e-09,13.0,-2.7,0.78172433,0.723,1.923,3.7408,2.289,4.0,-0.049,0.277,-0.559,nan,2
2.3980747737776682e-09,13.0,-2.7,0.78172576,0.723,1.948,3.7355,2.243,4.0,-0.107,0.23,-0.628,nan,2
1.5516954417427545e-09,13.0,-2.7,0.78172654,0.723,1.971,3.7317,2.205,7.0,-0.161,0.183,-0.691,nan,2
1.5516954419836954e-09,13.0,-2.7,0.78172719,0.723,2.001,3.728,2.16,7.0,-0.232,0.12,-0.77,nan,2
1.681907646578533e-09,13.0,-2.7,0.78172797,0.723,2.037,3.7241,2.108,7.0,-0.319,0.041,-0.865,nan,2
1.6168015440401731e-09,13.0,-2.7,0.78172874,0.723,2.075,3.7206,2.056,7.0,-0.411,-0.043,-0.965,nan,2
1.9423320567319723e-09,13.0,-2.7,0.78172946,0.723,2.113,3.7174,2.005,7.0,-0.502,-0.127,-1.063,nan,2
3.4289213956954263e-09,13.0,-2.7,0.78173053,0.723,2.146,3.715,1.963,7.0,-0.582,-0.201,-1.148,nan,2
5.826996169473095e-09,13.0,-2.7,0.78173262,0.723,2.147,3.7152,1.963,7.0,-0.583,-0.203,-1.149,nan,2
2.5803718605236646e-08,13.0,-2.7,0.7817359,0.723,2.136,3.716,1.977,7.0,-0.557,-0.178,-1.121,nan,2
3.653537449284109e-08,13.0,-2.7,0.7817564,0.723,2.15,3.7143,1.956,7.0,-0.592,-0.21,-1.16,nan,2
3.537431566560567e-08,13.0,-2.7,0.78176957,0.723,2.186,3.7116,1.909,7.0,-0.677,-0.288,-1.251,nan,2
3.829323925896739e-08,13.0,-2.7,0.781789,0.723,2.238,3.708,1.843,7.0,-0.804,-0.407,-1.387,nan,2
3.2607306311339494e-08,13.0,-2.7,0.78180486,0.723,2.281,3.7053,1.789,7.0,-0.907,-0.503,-1.496,nan,2
2.8972215591019574e-08,13.0,-2.7,0.78181905,0.723,2.323,3.7028,1.737,7.0,-1.008,-0.598,-1.603,nan,2
2.567350640040087e-08,13.0,-2.7,0.78183156,0.723,2.364,3.7003,1.686,7.0,-1.109,-0.692,-1.71,nan,2
2.2700327721751133e-08,13.0,-2.7,0.78184271,0.723,2.406,3.698,1.635,7.0,-1.209,-0.787,-1.816,nan,2
1.9987573452772965e-08,13.0,-2.7,0.78185248,0.723,2.448,3.6956,1.584,7.0,-1.31,-0.881,-1.922,nan,2
1.804524139628193e-08,13.0,-2.7,0.78186113,0.723,2.489,3.6934,1.534,7.0,-1.408,-0.973,-2.026,nan,2
1.649354595453918e-08,13.0,-2.7,0.78186911,0.723,2.53,3.6911,1.484,7.0,-1.507,-1.066,-2.131,nan,2
1.520227492270892e-08,13.0,-2.7,0.78187633,0.723,2.571,3.6889,1.434,7.0,-1.605,-1.157,-2.234,nan,2
1.4290789488135649e-08,13.0,-2.7,0.78188312,0.723,2.612,3.6866,1.384,7.0,-1.703,-1.248,-2.339,nan,2
1.3455261173592028e-08,13.0,-2.7,0.7818895,0.723,2.653,3.6844,1.334,7.0,-1.801,-1.338,-2.444,nan,2
1.2804200148690314e-08,13.0,-2.7,0.78189552,0.723,2.693,3.6822,1.284,7.0,-1.899,-1.425,-2.551,nan,2
1.2283351329347196e-08,13.0,-2.7,0.7819013,0.723,2.734,3.68,1.234,7.0,-1.997,-1.511,-2.657,nan,2
1.12525047071885e-08,13.0,-2.7,0.78190684,0.723,2.776,3.6777,1.184,7.0,-2.094,-1.596,-2.765,nan,2
9.635703162907384e-09,13.0,-2.7,0.78191167,0.723,2.818,3.6754,1.133,7.0,-2.193,-1.679,-2.874,nan,2
8.08400772116463e-09,13.0,-2.7,0.78191572,0.723,2.859,3.6731,1.082,7.0,-2.288,-1.759,-2.981,nan,2
6.857842791631794e-09,13.0,-2.7,0.78191912,0.723,2.9,3.6708,1.032,7.0,-2.382,-1.837,-3.087,nan,2
6.402100074586098e-09,13.0,-2.7,0.78192204,0.723,2.937,3.6686,0.986,7.0,-2.467,-1.905,-3.185,nan,2
5.957208374308873e-09,13.0,-2.7,0.78192502,0.723,2.977,3.6663,0.937,7.0,-2.555,-1.973,-3.287,nan,2
5.566571759560596e-09,13.0,-2.7,0.78192753,0.723,3.014,3.6641,0.892,7.0,-2.636,-2.034,-3.383,nan,2
3.0382847811880896e-09,13.0,-2.7,0.78193015,0.723,3.055,3.6617,0.841,7.0,-2.726,-2.099,-3.49,nan,2
3.9063661474827707e-10,13.0,-2.7,0.78193033,0.723,3.068,3.6609,0.825,7.0,-2.753,-2.117,-3.523,nan,2
3.797855974979232e-10,13.0,-2.7,0.78193051,0.723,3.088,3.6596,0.799,7.0,-2.796,-2.146,-3.575,nan,2
3.7978559773886414e-10,13.0,-2.7,0.78193068,0.723,3.117,3.6578,0.763,7.0,-2.857,-2.187,-3.649,nan,2
4.5574271728663685e-10,13.0,-2.7,0.78193086,0.723,3.15,3.6557,0.722,7.0,-2.928,-2.242,-3.73,nan,2
6.510610244198345e-10,13.0,-2.7,0.7819311,0.723,3.187,3.6533,0.675,7.0,-3.007,-2.303,-3.821,nan,2
7.812732294965541e-10,13.0,-2.7,0.78193146,0.723,3.22,3.6511,0.633,7.0,-3.078,-2.356,-3.903,nan,2
4.5574271728663685e-10,13.0,-2.7,0.78193182,0.723,3.237,3.65,0.612,7.0,-3.115,-2.384,-3.946,nan,2
